,ss_username,cf_username,cf_rating,cc_username,cc_rating
0,eldnahon,slime,3449,peehs_moorhsum,3007
1,jora,,2383.9,uwi,2906
2,lala,,2259.2,kal013,2756
3,wesnerm,,2209.3,wmoise,2696
4,grebnesieh,grebnesieh,1703,grebnesieh,2673
5,aurinegro,aurinegro,2202,aurinegro,2628
6,retrograd,retrograd,2262,retrograd,2628
7,chris19,anudeep2011,2023,anudeep2011,2565
8,adkroxx,adkroxx,1765,adkroxx,2561
9,ania,ania,2566,ania7,2526
10,hohohaha,a05,2057.1,cacc,2513
11,tusg25,tusg25,2306,tusg25,2507
12,Jakube,jakube,2423,afaxnraner,2494
13,acraider,acraider,2223,acraider,2468
14,bazsi700,bazsi700,2601,bazsi700,2465
15,serotonin,serotonin,2340,serotonin,2461
16,Iamchecking,,2009.7,yash_daga,2456
17,accepted,chinmay0906,2101,chinmay0906,2446
18,srikkanthr,supersri04,1996,supersri_pro,2445
19,smookiekins,npcompete94,1784,rt_shah,2437
20,andrei1998,andrei1998,2422,andrei1998,2436
21,abdullah768,slow_but_determined,2040,abdullah768,2435
22,pmnox,pmnox,1980.6,pmnox,2421
23,EndRay,endray,1972.3,perucmpamypa,2411
24,naveen_iitr,naveen_iitr,1972.3,naveen_iitr,2411
25,math2718maniac,mathmaniac,2013,mathmaniac,2409
26,aropan,aropan,2421,aropan,2406
27,Paradox,paradox1,1964.8,miteshag,2402
28,Threat,fischer,2102,xam_,2395
29,Sorting,sorting,2342,sorting,2391
30,amoo_safar,amoo_safar,2810,alisfr32,2391
31,jay_1048576,jaysharma1048576,2195,jay_1048576,2390
32,demoralizer,demoralizer,2352,demoralizer,2374
33,shivram_gowtham,shivram,2019,a1a99_3,2372
34,nothave,not,1939,not,2371
35,n2n,n2n,1321,n2n_,2369
36,hrsh_panwar,magga,2383,hrsh_panwar,2368
37,aniket9465,aniket9465,2194,aniket9465,2364
38,mihil2701,the_nightmare,2312,mihil2701,2359
39,JovanB,jovanb,2495,jovan_b,2359
40,pkacprzak,pkacprzak,1959,pkacprzak,2357
41,rathi_22,toothbrush,1927.4,rathi_22,2357
42,VictorForbes,victorforbes,2149,victorforbes,2356
43,Wernieris,wernier,2215,mitsumuto,2352
44,ankitsultana,bk2dcradle,2136,ankit1s10_3,2351
45,abhi1agarwal,abhi1agarwal,1904,abhi1agarwal,2350
46,aneesh2312,aneesh2312,2162,aneesh2312,2346
47,cheissmart,cheissmart,2506,cheissmart,2342
48,Neil,neil,2163,neil_veira,2340
49,sameer5,sameergulati,2151,neo1tech9_7,2339
50,wittyskull,wittyskull,1910.7,shivamtanay,2337
51,deva2802,deva2802,2213,deva2802,2335
52,anveshi,anveshi,1838,anveshi,2332
53,NOOBxCODER,noobxcoder,2381,rishabhdevil,2331
54,aviroop123,aviroop97,2237,aviroop123,2330
55,xariniov9,xariniov9,1903.2,xariniov9,2328
56,arsijo,arsijo,2723,arsijo,2327
57,Rubanenko,rubanenko,2262,rubanenko,2326
58,talos,bipinpathak,1983,bipinpathak,2320
59,megatron10,megatron10,1892.4,megatron10,2315
60,Utkarsh_25dec,utkarsh.25dec,1891.6,utkarsh_25dec,2314
61,wizard,roy.satyam,1890.8,satyam_343,2313
62,kalptaru,kalptaru,1887.4,kalptaru_123,2309
63,ikbal,ikbal,2181,contesant,2308
64,nmalviya,nmalviya52,1969,nmalviya1929,2304
65,neko_nyaa,neko_nyaa,2545,neko_nyaa,2302
66,huikang,huikang,1880,tonghuikang,2300
67,vagesh_verma,garuna,2131,vagesh_verma,2298
68,nikaB,nikabb,1878.3,nika_b,2298
69,ExplodingFreeze,explodingfreeze,2196,explodingfrz,2296
70,pratyush1019,pratyush1019,1958,pratyush1019,2295
71,shinigami11,shinigami11,2116,ashishthecoder,2295
72,nonsequitur,nonsequitur,2241,nonsequitur,2291
73,Sanja,sanja,2239,sanja,2289
74,sanchit_h,sanchit_h,1870,sanchit_h,2288
75,ankurdua15,ankurdua15,2146,ankurdua15,2285
76,neeraj745,neeraj745,1773,neeraj745,2284
77,mnaveenkumar2009,mnaveenkumar2009,1866.7,mnaveenkumar20,2284
78,dthangnguyen19,dthangnguyen19,2116,thanglegons,2281
79,evilbuggy,evilbuggy,1864.2,evilbuggy,2281
80,ffao,ffao,1864.2,ffao,2281
81,RezwanArefin01,rezwan.arefin01,2047,rezwanarefin01,2277
82,Everule,everule,2573,everule1,2277
83,johan_liebert,death_scythe,1925,pranavarora,2276
84,aZvezda,azvezda,2173,azvezda,2276
85,itisalways42,itisalways42,1857.5,itisalways42,2273
86,torque,torquecode,1723,torque,2272
87,sidhant007,sidhant,1856.7,sidhant007,2272
88,bnkalya1502,bnkalya1502,2202,bnkalya1502,2269
89,uditgulati0,uditgulati0,1851.7,uditgulati0,2266
90,ujjwal9895,ujjwal9895,1954,ujjwal9895,2265
91,ankit_1107,ankit_1107,1850.9,ankit_iit,2265
92,manish05,manish05,1808,manish05,2264
93,lavish315,lavish315,1850,lavish315,2264
94,ssjgz,,1850,ssjgz,2264
95,pulkitsinghal,pulkitsinghal,1602,pulkitsinghal,2260
96,coder_pulkit_c,coder_pulkit_c,2100,coder_pulkit_c,2260
97,sayanmedya,sayanmedya,2259,sayanmedya,2259
98,asymptote_,advitiyabrijesh,1706,anmol137dh08,2258
99,saharshluthra,saharshluthra,2175,saharshluthra,2254
100,soham_1234,soham_1234,1841.7,soham1234,2254
101,pavement,pavement,2417,pavement,2252
102,nishant_coder,nishant_coder,1840,nishant_coder,2252
103,nic6200,nic6200,1885,nic6200,2251
104,Hamzqq9,hamzqq9,2190,hamzqq9,2250
105,rajarshi_basu,rajarshi_basu,1837.6,rajarshi_basu,2249
106,hikarico,hikari9,1951,hikarico,2247
107,letstry,triveni,1795,triveni,2246
108,rahman_worlds,izaj,1806,izaj1999,2245
109,hemanth_1,hemanth_1,1789,hemanth_1,2244
110,scopeinfinity,scopeinfinity,1876,scopeinfinity,2241
111,shivamg_isc,shivamg_isc,1745,shivamg_isc,2240
112,nitishk24,nitishk24,2108,nitishk24,2239
113,sudouc,ex-surreal,1970,mamu,2237
114,divakar_tomar,divakar_tomar,1750,divakar_tomar,2235
115,ajaybgunjal,ajaybgunjal,2115,ajaybgunjal199,2235
116,aaijmrt,aaijmrt,1693,aaijmrt,2234
117,amitgoel248,amitgoel,1725,amitgoel248,2234
118,nibnalin,nibnalin,1825.1,nibnalin,2234
119,aditya09,aditya09,1888,aditya09,2233
120,vishusachdeva,vishusachdeva,1913,vishusachdeva,2232
121,Chenghiz,chenghiz,1823.4,mayankkhetan,2232
122,iamstg,iamstg,1746,iamstg,2231
123,ujju_is_great,ujju_sucks,2088,ujju_sucks2,2230
124,mikal09,saurabh_dtu,1820.9,saurabh_dtu,2229
125,vikky_codder,vikky_codder,1916,vikky_codder,2228
126,DomiiKo,domiko,2123,domiko,2228
127,kalpitk,kalpitk,1817.6,kalpitk,2225
128,amitgomi,amitgomi,1864,amitgomi,2224
129,Yazmau,yazmau,2105,yazmau,2223
130,avi892nash,avi892nash,1815.9,avi892nash,2223
131,darkhope,darkhope,1556,tabish13,2222
132,Learner99,learner99,2110,utsav_rajpara,2222
133,uhateme99,uhateme,2115,uhateme,2222
134,Al3ks1002,Al3ks1002,1815.1,Al3ks1002,2222
135,I_LOVE_NICKI_MINAJ,i_love_nicky_minaj,1917,shubham1412,2221
136,killjee,killjee,1776,killjee,2219
137,AnishG,anishg,1812.6,anishg,2219
138,shourov,shourov.sust,2108,shourov_sust,2218
139,sinhriv,tachibana_marika,2412,rhymastic,2218
140,archit_jain08,archit_jain09,1811.8,archit_jain08,2218
141,Equinox,100pi,1811.8,equlnox,2218
142,namanjainiitbhu,revpro,1859,naman_18_jain,2217
143,gohan95,gohan95,1959,gohan95,2217
144,farhan132,farhan132,2170,farhan132,2217
145,swetankmodi,swetank,1640,swetankmodi,2214
146,pparwal12,pparwal12,1808.4,pparwal12,2214
147,tanishqg5325,tanishqg5325,2108,tanishqg5325,2211
148,dragonslayerx,dragonslayerx,1968,dragonslayerx,2210
149,arshadg,arshad1999,1995,ars2117,2209
150,Orange_Juice,yomapeed,1748,nevermore2002,2207
151,pakalns,pakalns,1800.1,ppakalns,2204
152,raghumdani,6.46E+73,1742,raghumdani,2203
153,abhayps,abhayps,1852,abhayps,2201
154,l_returns,l_returns,2141,l_returns,2200
155,red_devil,,1796.8,l_returns,2200
156,VladaMG98,vladamg98,2427,vladamg98,2195
157,bond007,manu1311,1902,manujain,2194
158,ArtSin,artsin666,1936,artsin6,2194
159,Nowheretorock,striver_79,1942,striver_79,2194
160,striver_79,striver_79,1791.8,striver_79,2194
161,danft,danft,1791,danft,2193
162,prmsngh,prmsngh,1791,paramsingh,2193
163,pluristiq,pluristiq,1409,pluristiq,2192
164,hkyiitd,hkyiitd,2102,hkyiitd,2192
165,swastik1996,swastik1996,1790.2,swastik1996,2192
166,vaibhav138,vaibhav138,1947,vaibhav138,2191
167,rashish,rashish2202,1977,rashish2202,2191
168,kazi_nayeem,codename27,1788.5,kazi_nayeem,2190
169,nilesh3105,nilesh3105,1687,nilesh3105,2188
170,inc_practice,psychik,2159,psychik,2188
171,juckter,ari,2442,juckter,2187
172,souradeep1999,codeforces.com/profile/souradeep.99,1784.3,souradeep1999,2185
173,ketanhwr,ketanhwr,1784.3,ketanhwr,2185
174,handa,aakashhanda,1941,aakashrockstar,2184
175,rishabhjain7894,rishabh7699,2322,rishabh7699,2184
176,VVD4,vvd4,1674,vvd4,2183
177,aminul,aminul,1914,aminul_haq,2179
178,mdhivagar18,dhivagar,1932,mdhivagar18,2179
179,AdC_AB2,adc_ab2,2055,adc_ab2,2179
180,shikhar7s,shikhar7s,2118,shikhar7s,2179
181,pin3da,pin3da,1725,mpineda,2178
182,Wild_Stone,wild4stone,1679,wild4stone,2177
183,Dhruvil_Kakadiya,dhruvil_kakadiya,1859,c0d3rg,2177
184,ag73,akshaygahlot73,2149,ag73,2177
185,kvsk,,1776.8,kvsk,2176
186,baohiep,baohiep,1776,baohiep,2175
187,sidthe1,sidthe1,1829,sidthe1,2174
188,the_phoenixx,the_phoenixx,1731,the_phoenixx,2173
189,mishraiiit,mishraiiit,1864,mishraiiit,2173
190,vaibhavvg,vaibhavvg,1839,vaibhavvg,2172
191,mohit_1995,mohit_3090,1773.5,mohit_1995,2172
192,masterstroke,masterstroke,2113,no_excuses,2171
193,ltsunlshptntl,prakharjain,1772.7,ptntialunrlsd,2171
194,_NICkk,_nickk,1892,nick1231,2170
195,secret0123,pranav0123,1970,pranav0123,2170
196,Cegax12,cegax,1771.9,cegax,2170
197,math10,math10,1631,math10,2169
198,xbiz,2360,1967,re6044,2169
199,2360,2360,1771,re6044,2169
200,lockdown,lockdown,1771,shashank2209,2169
201,6aren,6aren,2587,bk6aren,2168
202,shyambajaj,shyambajaj,1838,codemaster3840,2167
203,shubhamgarg1,shubhamgarg1,1857,shubhamgarg1,2166
204,puneetrai04,puneetrai04,1978,puneetrai04,2166
205,prb456,prb456,1677,prb456,2165
206,adi28galaxyak,adi28galaxyak,1767.7,adi28galaxyak,2165
207,swapnil07,swapnil07,1766,swapnil07,2163
208,regex0754,regex0754,1648,regex0754,2162
209,destructor1041,ap1008,2160,whynotme,2162
210,Reziba,reziba,1571,abizerl123,2161
211,vivekkumar1595,vivekkumar1595,1797,vivekkumar1595,2160
212,vineetonrole,vineetonrole,1763.5,vineetonrole,2160
213,taasans123,amar_1997,1763.5,taasans123,2160
214,preet_25,preet_25,1763.5,preet_25,2160
215,CT7,ct7,1624,oblivion_7,2158
216,abhi_1595,abhi_1595,1652,abhi_1595,2158
217,hustlerr,hustlerr,1761.9,hustlerrr,2158
218,ayush1996,ayush24,1761.1,ayush1996,2157
219,shubham1694,shubham1694,1167,shubham1694,2156
220,mkisic,mkisic,1828,logico,2156
221,hemant9271,hemant1729,1760.2,hemant1729,2156
222,shovonshovo,shovonshovo,1760.2,shovonshovo,2156
223,huzaifa242,huzaifa242,1723,huzaifa242,2155
224,rsd511,rsd511,1758.6,rsd511,2154
225,saatwik,saatwik27,1770,saatwik27,2153
226,vampire_slayer,vampire_slayer,1976,vampire_slayer,2153
227,ciphereck,ciphereck,1659,ciphereck,2152
228,aloochaat1998,alooochaat1998,1894,aloochaat1998,2152
229,universe,universe-,2154,universee,2152
230,katta,ambesh,1712,ambesh,2149
231,code_kika,code_kika,1823,code_kika,2149
232,Anmol17220,anmol17220,2025,anmoliiitd,2149
233,adarshagr8,adarshagr8,1688,adarshag,2148
234,abhishek944,abhishek944,1753.6,abhishek944,2148
235,yudhik,yudhik,1946,yudhik,2147
236,Adarsh8409,adarsh8409,1750.2,adarsh_kashyap,2144
237,nightmare0513,nightmare05,2236,nightmare05,2143
238,shivam543,shivamkakkar,1749.4,shivam543,2143
239,ab13123002,ab13123002,1611,ab13123002,2141
240,darthVader,root8950,1747.7,root8950,2141
241,vyomkesh,vyomkesh,1760,darkhorse65,2140
242,Rhythm21,hemesh_dj,1807,hemeshdj,2139
243,rajdetroja,rajdetroja,1746.1,rajdetroja,2139
244,tusingha,hephaestus,1914,tusharsingh,2138
245,rtasmeem,bruteforceman,2209,tasmeemreza,2136
246,binaryboy1234,binaryboy1234,1742.8,captain1337,2135
247,d_shekhar,d_shekhar,1647,d_shekhar,2134
248,gautam27,gautam27,1661,algorithmist2,2134
249,s_jindal00,s.jindal,1741.9,s_jindal00,2134
250,spidy7,spidy7,2240,ak_garg__,2133
251,mrtempo,mrtempo,1740.3,mrtempo,2132
252,Black_Beard009,black_be4rd,1917,black_beard007,2131
253,d_skyhawk,d_skyhawk,1739.4,d_skyhawk,2131
254,aatrey,aatrey,1738.6,aatrey07,2130
255,atharva_sarage,atharva_sarage,1736,atharva_sarage,2129
256,cypherop,cypherop,2022,cypherop,2129
257,rahul_iit,rahul_iit,2131,rahul_iit,2129
258,gear4,gear4,1737.8,gear4,2129
259,dragneel3131,dragneel3131,1679,dragneel3131,2128
260,Masum_Billa_19,masum_billa_19,1931,masumbilla_19,2128
261,AaryanS,_aaryan_,1969,ssj5_aaryan,2128
262,srijan123j,srijan123j,1736.1,srijan123j,2127
263,dontclickme,all_out,1868,jaydeep97,2126
264,Inov,abhinavvv306,2322,inov_360,2126
265,doltferns,doltferns,1735.3,doltferns,2126
266,ag996,iknowirock,1470,adityaghosh996,2125
267,ymahajan98,ymahajan98,1934,ymahajan98,2124
268,shivam0891,shivam0891,1733.6,shivam0891,2124
269,eklavya,eku,1698,sharmaeklavya2,2123
270,pqrst,nik_y,2103,nik_y,2123
271,adarsh_1_gupta,cyber_wizard,1919,gupta_adarsh,2122
272,karanagarwalla,karanagarwalla,2135,karanagarwalla,2122
273,murugappan_s,murugappan_s,1902,murugappan_s,2121
274,geniucos,geniucos,1731.1,geniucos,2121
275,raiden11,raiden_11,1731.1,raiden11,2121
276,hm98,hm_98,2031,hm_98,2120
277,hm_98,hm_98,2031,hm_98,2120
278,rohit_goyal,rohit_goyal,2150,rohit_goyal,2120
279,tanzir5,maxon5,2171,tanzir5,2119
280,avmnusng,,1729.5,avmnusng,2119
281,unknown0711,unknown0711,1729.5,anshg0711,2119
282,akshaykumar99,akshaykumar99,1729.5,akshaykumar01,2119
283,anmol21,loser21,2038,anmol21,2118
284,Renauga,tourist,3764,renauga,2118
285,tariqiitju,tariqiitju,1728.6,tariqiitju,2118
286,dawnavd,dawnavd,1454,dawnavd,2117
287,lalit_1,lalit1,1543,lalit_1,2117
288,manujk,akamg,1701,manujg,2117
289,p_unit,p_unit,1727.8,p_unit,2117
290,muNick,munick,1727.8,anubhav2512,2117
291,akjn,akjn,1570,akjn,2116
292,RkHamim,hamim99,1727,hamim_1804126,2116
293,prisonbreak_ms,its_atrap,1789,prisonbreak_ms,2116
294,manas_gupta,manasg,1726.1,manas_gupta,2115
295,mouryasatyam,mouryasatyam,1763,mourya_satyam,2114
296,grey_hat_geek,koshle,1725.3,miitbh1,2114
297,gommale,,1725.3,akshayvenkat97,2114
298,George_Ogden,geroge_ogden,1725.3,george_ogden,2114
299,stranger7,stranger7,1294,stranger7,2113
300,haha_akash,haha_akash,1763,haha_akash,2113
301,deepsavani,deepsavani,1833,deepdsavani,2113
302,born_confused,born_confused,1863,suryansh619,2113
303,prasant21,prasant21,1936,prasant21,2113
304,dreamplay,dreamplay,1930,dreamplay,2112
305,luucasv,luucasv,1992,lvcs,2112
306,Sp020700,aur_batao,2170,what_is_coding,2112
307,prashanth_rebala,prashanth_rebala,1779,prash_rebala,2111
308,psycane,,1722.8,himanshu_m,2111
309,sai_rathan,sai_rathan,1513,sai_rathan,2110
310,angesh,angesh,1928,angeshs,2110
311,bigcrunch,bigcrunch,1978,kaush97,2110
312,Rox,rox,1722,arxmath,2110
313,avijit_agarwal,avijit_agarwal,2020,avijit_agarwal,2109
314,naman5811,naman5811,1603,naman5811,2108
315,shado_w,shado_w,1923,shado_w,2108
316,HimanShu09,himanshu09,1720.3,himanshu102,2108
317,sadid,sadid_005,1720.3,sadidshaikh,2108
318,gkashish,gkashish,1908,gkashish,2107
319,harshhx17,harshhx17,1719.5,harshhx17,2107
320,gaurav_8,gaurav_8,1719.5,gaurav_8,2107
321,PR_0202,pr_0202,2171,pr_0202,2106
322,ujjawalpabreja99,cuber_coder,2177,ujjawalpabreja,2106
323,aayushdw,dwivedi,1718.6,aayushdw,2106
324,suraj_ch77,suraj_ch77,1717.8,suraj_ch77,2105
325,gakshat468,gakshat468,1618,akshat468,2104
326,Rajdeep2001,rajdeep,1717,rajdeep2001,2104
327,anuragsingh804,anuragsingh804,2110,anuragsingh804,2103
328,hellman,hellman1908,1716.1,hellman,2103
329,trijeet,trijeet,1600,trijeet,2102
330,nemish,n1e2m3,1810,sna902055,2102
331,punitg8,punitg8,1828,punitg8,2101
332,AlexandruValeanu,alexandruvaleanu,1901,alexvaleanu,2101
333,tanvir,t17,1941,tanvirtareq,2101
334,mariand,mariand,2260,mariand,2101
335,abhishekk781,abhishekk781,1686,abhishekk781,2100
336,sajib_readd,sajibreadd,1769,sajib_readd,2100
337,viSkey,suga,1884,viskey,2100
338,harsh1610,harsh1610,1924,harsh1610,2100
339,rohit659,rohitman659,1713.7,rohit659,2100
340,ap_2089,ap_2089,1691,xqb_83,2099
341,pritishn,pritishn,1976,pritishn,2099
342,amul123,amul_agrawal,2141,awesome_amul,2099
343,vipin_bhardwaj,vipin_bhardwaj,1712.8,vipin_bhardwaj,2099
344,giorgosgiapis,,1712.8,giorgosgiapis,2099
345,hungryfool,hungryfool,1533,hungryfool,2098
346,ankan2526,ankan2526,1710,ankan2526,2098
347,sherewillpower,sherewillpower,1712,sherewillpower,2098
348,rtheman,rtheman,1492,rtheman,2097
349,codemastercpp,codemastercpp,1787,codemastercpp,2097
350,rushi_patel11111,rushi_patel11111,1884,rushi11111,2097
351,Dishant_18,dishant_18,1915,dishant_18,2097
352,MohamedAhmed04,mohamedahmed04,2450,mohamedahmed04,2097
353,dhruval161,dhruval161,1711.2,dhruval161,2097
354,Darshil_Shah,darshil_shah,1844,shah_darshil,2096
355,sauravray2587,sauravray2587,1947,sauravray2587,2096
356,killerbee,killer_bee,1807,tapish13031997,2095
357,geckods,geckods,2161,geckods,2095
358,aseemraj,scion,1709.5,aseemraj,2095
359,shakti,mr_knownothing,1721,mr_knownothing,2094
360,Believe,believe,1708.7,nikhil982000,2094
361,ravik1,ravik1,2081,ravik1,2093
362,l0gic_b0mb,l0gic_b0mb,1693,l0gic_b0mb,2092
363,eightnoteight,eightnoteight,1717,eightnoteight,2092
364,return__zero,return__zero,1707,shivam_wadhwa,2092
365,ankurverma1994,ankurverma1994,1297,ankurverma1994,2091
366,Amiy2908,amiy_tiwari,1836,amiy_tiwari,2091
367,unmesh_kumar,_xorcestor_x,1706.2,unmesh_kumar,2091
368,ychhabra60,,1706.2,ychhabra60,2091
369,sak_agg,sak_agg,1830,sak_agg,2090
370,aman92053,amystar101,1705.3,aman92053,2090
371,nightfury1204,nightfury1204,1705.3,nahidcuet12,2090
372,vivek_zi,why_._,1705.3,vivek_zi,2090
373,liaojh1998,liaojh,1705.3,liaojh,2090
374,SachinAgarwal,techknight410,1319,sachin_4099,2089
375,yash0530,scaryterry,1704.5,yash530,2089
376,anushi,anushi1998,1704.5,anushi,2089
377,ak532,ak532,1791,adarshkr532,2088
378,coder_harsha,harshaa05,1831,harshaa05,2088
379,sneh42,sneh123,1886,snehgupta42,2088
380,ashutosh97,ashutosh450,2166,ashutosh450,2088
381,kuwal786,_karn,1914,kuwal786,2087
382,s4shyam95,s4shyam95,1950,s4shyam95,2087
383,white__walker,white__walker,1992,white__walker,2087
384,fishy15,fishy15,2080,fishy15,2087
385,notwatermango,notwatermango,1720,notwatermango,2086
386,anand873,doubleux,2108,doubleux,2086
387,Blitztage,blitztage,2150,charizard21,2086
388,saanc,saanc,1702,saanc,2086
389,Inferno2332,inferno2332,1678,inferno2332,2085
390,gravito12345,gravito12345,1701.2,gravito12345,2085
391,Retarded_Ape,_infinite_v0id_,1861,retarded_ape,2084
392,abhineet14,abhineet14,1682,abhineet14,2083
393,tanzim_bn,tanzim_bn,1772,tanzim_bin,2083
394,YuvrajSharma,yuvrajsharma,1842,yuvraj908,2083
395,knok16,knok16,1882,knok16,2083
396,hitesh_0301,hitesh_0301,2125,hitesh_0301,2083
397,pseudocoder10,pseudocoder10,2144,pseudocoder10,2083
398,salik,abx_2109,1698.7,abx_2109,2082
399,smit_37_mist,smit_37_mist,1698.7,smit37_mist,2082
400,frost_,frost_,1698.7,frost_,2082
401,mradul12,bhatnagar.mradul,1699,mradul12,2081
402,DrSwad,drswad,1697.9,drswad,2081
403,mkrjn99,mkrjn99,1638,mkrjn99,2080
404,muskan_garg,muskan_garg,1697,muskan_garg,2080
405,kg_05,khushboo05,1648,kg05kg05_05,2079
406,i_am_pratik,i.am.pratik,1965,poetic_soul,2079
407,darkshadows,darkshadows,1696.2,darkshadows,2079
408,DrinkWaterEatFood,drinkwatereatfood,1696.2,piedpiper,2079
409,i_am_the_danger,king_in_the_north,1696.2,drastogi21,2079
410,sawarnik123,sawarnik,1932,sawarnik123,2078
411,fakhrulsojib,fakhrulsojib,1955,fakhrulsojib,2078
412,rs258,rs258,1993,rishisethia,2078
413,agarwal_keshav,agarwal_keshav,1695.4,agarwal_keshav,2078
414,jonsnow7,jonsnow7,1476,jonsnow7,2076
415,guptautkarsh2512,guptautkarsh2512,1581,kqr45j,2076
416,ninja_28,ninja_28,1765,kanish_anand,2076
417,Md_Atik,m_a_r,1693.7,atik_27,2076
418,abhi2812,abhi2812,1693.7,abhi2812,2076
419,scooby,scoobybutter,1693.7,scoobybutter,2076
420,praby,praby,1593,praby,2075
421,satyamshrma,satyamshrma,1787,skumarsharma,2075
422,ronakvaghela45,ronakvaghela45,1893,ronakvaghela45,2075
423,husdabest,shash42,2009,harrycoda,2075
424,Gigaliths,gigaliths,1692.9,gigaliths,2075
425,rishabh_2621,aryanverma2412,1667,risha_ver_2621,2074
426,PratyushBansal,pratyushbansal26,1935,pratyush26,2074
427,rmatrix,rmatrix,1967,rmatrix,2074
428,8shubham,8shubham,1542,shubhamkothari,2073
429,sayam_sethi2,sayam.sethi2,1754,sayam2,2073
430,NMrinal,nilotpal,1589,nilotpal9797,2072
431,reyaan44,reyaan44,1950,reyaan44,2072
432,yash_0402,yash_0402,1690.4,yash_0402,2072
433,vagab0nd,_vagabond,1941,vagab0nd,2071
434,Mrityuanjaya,mg9336862948,1689.5,mrityuanjaya,2071
435,Fayaz,fayaz,1777,fayaz_007,2070
436,georgejsh,georgejsh,1814,georgejsh,2070
437,shivansh1102,shivanshshukla60,1823,shivansh1102,2070
438,digu_J,digu_j,1963,digu_j,2070
439,saurv4u,saurv4u,1688.7,saurv4u,2070
440,nitin12384,nitin12384,1757,nitinkumar1238,2069
441,Nikki371,nikki371,1619,nikki371,2068
442,daysofgold,gamer37,1807,suah0205,2068
443,evan,ho-jo-bo-ro-lo,1687,evan_hossain,2068
444,bonfire,bonfire,1687,bonfire,2068
445,abhishek20113,abhishek20113,1303,abhishek20113,2067
446,Your_dad,your_dad,1657,nonushikhar,2067
447,Ashish_aryan1,omja,1911,ashish_aryan02,2067
448,udow,udhavvarma03,1686.2,udhav2003,2067
449,abhinav_2306,abhinav_2306,1686.2,jslim,2067
450,A_singhal,a_singhal,1685.4,thunder_blade,2066
451,vidhan,vidhan13j07,1643,vidhan13j07,2065
452,abj02,abj02,1684.5,abhishekjha01,2065
453,mesksr,mesksr,1684.5,mesksr,2065
454,Adroit,legend.ary_as,1684.5,random_noob,2065
455,abhi_neel,abhi_neel,1684.5,abhi_neel,2065
456,mr_nastik,mr_nastik,1606,mr_nastik,2064
457,Aabhas99,aabhas99,1683.7,aabhas99,2064
458,hybrid,hybrid,1683.7,hybrid404,2064
459,AbhiTaker,abhitaker,1665,deadcode4,2063
460,vs12345,linux0403,1784,vasu0403,2063
461,TheOneYouWant,theoneyouwant,2308,theoneyouwant,2063
462,vasu0403,vasu0403,1682.9,vasu0403,2063
463,yranka309,yranka309,1682.9,yranka309,2063
464,groot_here,anand80hack,1459,depressed_code,2062
465,groot8045,anand80hack,1459,depressed_code,2062
466,JadeReaper,jadereaper,1596,jade_reaper,2062
467,ayush_a97,ayush_a97,1679,ayush_a97,2062
468,emiya_007,emiya_007,1682.1,emiya_007,2062
469,debugivAC,codearth,1625,codearth01,2061
470,thunderbird001,thunderbird001,2133,thunderbird001,2061
471,Devil_786,ashusingh250203,1681.2,einzelganger,2061
472,cap_filler,imalsol,1680.4,dimash241,2060
473,sajibcuet09,sajibcuet09,1344,sajibcuet09,2059
474,AdityaBKIIITA,aditya-bk,1625,adityabk_iiita,2059
475,ankur_dhir95,ankurdhir111,1693,ankur_dhir95,2059
476,soumyjain,soumyjain,1820,soumy_jain,2059
477,phantom654,phantom654,1678.7,phantom654,2058
478,kaun_meet,mithh_gemphir,1678.7,kaun_meet,2058
479,deadshooter_v2,elprimo,1725,nishant_141077,2057
480,mohitbindal,mohitbindal,1847,mohitbindal644,2057
481,sahil99,sahil99,1939,sahil91,2057
482,coderoar,kumar_pranjal_rai,1677.9,prnjl_rai,2057
483,admin123,admin123,1677.9,admin123,2057
484,deadshooter,nishant_141077,1677.9,nishant_141077,2057
485,Stop_stalk,mohitbaid,1574,rip_codechef,2056
486,nestedcode,nestedcode,1835,nestedcode,2056
487,bansals888,bansals888,2058,bansals888,2056
488,siddhantyadavgzp,siddhugzp,1677.1,siddhugzp,2056
489,harshkrraj,harshkrraj,1674,harshkrraj,2055
490,rohan_p,rohan.p,1910,rohan_p_72,2055
491,Meenaksshi_S,meenaksshi,1676.2,meenaksshi,2055
492,majorro,majorro,1733,majorro,2054
493,Priyanshu_Gupta,priyanshu_gupta,1749,vold_mort,2054
494,f1u77y,f1u77y,1804,f1u77y,2054
495,ToxicHack,toxic_hack,2040,toxichack_99,2054
496,anuraag.heisenberg,anuraag.heisenberg,1675.4,anuraag_s2,2054
497,arpn,arpn,1437,arpn,2053
498,anadivyas,al_qatil,1786,beastincarnat,2053
499,cookpie,sugam,1459,cookpie,2051
500,gjaiswal108,gjaiswal108,1626,gjaiswal108,2051
501,xpertcoder,xpertcoder,1666,xpertcoder,2051
502,sourav_suku,sourav_suku,1719,souravunni27,2051
503,vishal_nnd0,vishal_anand,1861,vishal_nnd0,2051
504,harsh290198,harsh290198,1672.9,harsh290198,2051
505,hello_harry,demonstrator,1672.9,demonstrator27,2051
506,Anish_aak,aak,1672.9,anish_ak,2051
507,honeysingh18,honeysingh18,1453,honey_789,2050
508,Kanna_19,kanna_19,1863,kanna_19,2050
509,nishantns19,nishant.ns19,1672.1,nishantns19,2050
