,ss_username,cf_username,cf_rating,cc_username,cc_rating
8193,minhajadil,minhajadil,847,minhajadil,1495
8194,komalmaxflow7,maxflow7,912,maxflow7,1495
8195,raidenblackout,raidenblackout,1229,drekofrenzy,1495
8196,master19,master19,1410,master19,1495
8197,aajjbb,aajjbb,1477,aajjbb,1495
8198,pulkit_yadav29,pulkit2000,1210.6,pulkit_yadav,1495
8199,shreyash,shr3y4sh,1210.6,shreyashlrn1,1495
8200,abhinay_76,abhinay_76,1210.6,abhinay_76,1495
8201,Pk1508,pk1508,1210.6,p_k1508,1495
8202,hitesh_8,hitesh_8,1210.6,hitesh_8,1495
8203,prolearner1,srshubham77,881,srshubham77,1494
8204,Thor_1999,coder1999,1072,bionic_coder,1494
8205,YousufRaza17,yousufraza,1219,yousuf_raza,1494
8206,Sorrow_boy,sorrow_boy,1245,rama_9,1494
8207,rocklee,imkaushik,1455,loserr,1494
8208,00harshjain,00harshjainjain1,1500,harshjain001,1494
8209,pradyum_bansal,pradyum_bansal,1659,pradyum007,1494
8210,rafidshahriar,rafidshahriar,1209.7,rafid211,1494
8211,badcw,badcw,1209.7,badcw,1494
8212,imshivamdwivedi,imsd_14,1209.7,imsd_14,1494
8213,sushovan,sushovan,1209.7,sushovan_15,1494
8214,subahan983,,1209.7,subahan786,1494
8215,pantho,pantho,1209.7,pantho,1494
8216,hootingsailor,hootingsailor,1209.7,hootingsailor,1494
8217,yugandhar7236,yugandhar7236,375,yugandhar7236,1493
8218,MSab6ir,msab6ir,697,msab6ir,1493
8219,KavyaKandhway,erstwhile,1455,kavya_kandhway,1493
8220,nav_yeah,nav._.yea,1534,nav_yeah,1493
8221,manoj0606,,1208.9,manoj0606,1493
8222,kanisshka,kanisshka,1208.9,kanisshka,1493
8223,mkv,mkvjh,1208.9,mkvjh,1493
8224,true_fragrance,true_fragrance,867,true_fragrance,1492
8225,Tatsuya,mabu1,1004,dr_stone123,1492
8226,JakLee,jaklee,1031,jak_lee,1492
8227,hritulagrawal,hritul,1036,hritulagrawal,1492
8228,Kishan,kishan,1214,kishan_75,1492
8229,karan227,weedycoder,1261,karan227,1492
8230,grg124,grg124,1324,grg124,1492
8231,ayushcode05,ayushcode05,1342,ayushcode05,1492
8232,mugdhasamiul,samiul_mugdha,1365,mugdhasamiul,1492
8233,kk_ban,kk_ban,1406,kk_ban,1492
8234,spyd3r,kjoshi_,1446,kamleshjoshi,1492
8235,sunnyc21,sunnycarlos,1604,sunnyc21,1492
8236,saurav_ksharma,saurav_ksharma,1704,saurav23aug,1492
8237,roar00,troubleman,1208.1,roar00,1492
8238,sahaun,sahaun,1208.1,sahaun,1492
8239,Aishwarya_Dinkar_Dalal,aishwaryadalal24,1208.1,aishwaryadalal,1492
8240,chakri_007,chakri_007_,1208.1,chakri_007_,1492
8241,s_u_bhash,s08051999,1208.1,s08051999,1492
8242,Haritha_donavalli,haritha_d,1208.1,haritha_d,1492
8243,mahir,lazym,1208.1,mahir92,1492
8244,GrasshopperPawns,redrook707,685,mr_edward2001,1491
8245,rabhi1611,rabhi1611,934,rabhi1611,1491
8246,lvl999noob,lvl999noob,1105,lvl999n00b,1491
8247,b_k08,bkaur,1231,b_k08,1491
8248,Banjara07,infinito_,1629,banjaara007,1491
